,Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
173,Gansu,Mainland China,1/26/2020 23:00,14.0,22.613636363636363,7.253521126760563,12.3
174,Shanxi,Mainland China,1/26/2020 23:00,13.0,22.613636363636363,7.253521126760563,12.3
175,Inner Mongolia,Mainland China,1/26/2020 23:00,11.0,22.613636363636363,7.253521126760563,12.3
176,Hong Kong,Hong Kong,1/26/2020 23:00,8.0,22.613636363636363,7.253521126760563,12.3
177,Guizhou,Mainland China,1/26/2020 23:00,7.0,22.613636363636363,7.253521126760563,12.3
178,Jilin,Mainland China,1/26/2020 23:00,6.0,22.613636363636363,7.253521126760563,12.3
179,Macau,Macau,1/26/2020 23:00,6.0,22.613636363636363,7.253521126760563,12.3
180,Xinjiang,Mainland China,1/26/2020 23:00,5.0,22.613636363636363,7.253521126760563,12.3
181,Ningxia,Mainland China,1/26/2020 23:00,4.0,22.613636363636363,7.253521126760563,12.3
182,Taiwan,Taiwan,1/26/2020 23:00,4.0,22.613636363636363,7.253521126760563,12.3
183,Qinghai,Mainland China,1/26/2020 23:00,4.0,22.613636363636363,7.253521126760563,12.3
184,Washington,United States,1/26/2020 23:00,1.0,22.613636363636363,7.253521126760563,12.3
185,Illinois,United States,1/26/2020 23:00,1.0,22.613636363636363,7.253521126760563,12.3
186,California,United States,1/26/2020 23:00,2.0,22.613636363636363,7.253521126760563,12.3
187,Arizona,United States,1/26/2020 23:00,1.0,22.613636363636363,7.253521126760563,12.3
188,,Japan,1/26/2020 23:00,4.0,22.613636363636363,1.0,12.3
189,,Thailand,1/26/2020 23:00,8.0,22.613636363636363,2.0,12.3
190,,South Korea,1/26/2020 23:00,3.0,22.613636363636363,7.253521126760563,12.3
191,,Singapore,1/26/2020 23:00,4.0,22.613636363636363,7.253521126760563,12.3
192,,Vietnam,1/26/2020 23:00,2.0,22.613636363636363,7.253521126760563,12.3
193,,France,1/26/2020 23:00,3.0,22.613636363636363,7.253521126760563,12.3
194,,Australia,1/26/2020 23:00,4.0,22.613636363636363,7.253521126760563,12.3
195,,Nepal,1/26/2020 23:00,1.0,22.613636363636363,7.253521126760563,12.3
196,,Malaysia,1/26/2020 23:00,4.0,22.613636363636363,7.253521126760563,12.3
197,Ontario,Canada,1/26/2020 23:00,1.0,22.613636363636363,7.253521126760563,12.3
198,Hubei,Mainland China,1/26/2020 11:00 AM,1058.0,22.613636363636363,42.0,52.0
199,Guangdong,Mainland China,1/26/2020 11:00 AM,111.0,22.613636363636363,2.0,12.3
200,Zhejiang,Mainland China,1/26/2020 11:00 AM,104.0,22.613636363636363,1.0,12.3
201,Henan,Mainland China,1/26/2020 11:00 AM,83.0,3.0,7.253521126760563,1.0
202,Chongqing,Mainland China,1/26/2020 11:00 AM,75.0,22.613636363636363,7.253521126760563,12.3
203,Hunan,Mainland China,1/26/2020 11:00 AM,69.0,22.613636363636363,7.253521126760563,12.3
204,Beijing,Mainland China,1/26/2020 11:00 AM,68.0,22.613636363636363,2.0,12.3
205,Anhui,Mainland China,1/26/2020 11:00 AM,60.0,4.0,7.253521126760563,12.3
206,Shandong,Mainland China,1/26/2020 11:00 AM,46.0,22.613636363636363,7.253521126760563,12.3
207,Sichuan,Mainland China,1/26/2020 11:00 AM,44.0,4.0,7.253521126760563,12.3
208,Shanghai,Mainland China,1/26/2020 11:00 AM,40.0,72.0,1.0,1.0
